Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
.406 Ventures,https://www.406ventures.com,VC,,USA,No,20+,$265M,"Feb , 2024",,x,x,x,$2M,$5M,,,x,,,,,,x,,,,,x,x,,,,,"https://www.linkedin.com/in/ldonohue, https://www.linkedin.com/in/grahambrooks, https://www.linkedin.com/in/payaldivakaran, https://www.linkedin.com/in/gdracon","https://www.linkedin.com/in/ldonohue, https://www.linkedin.com/in/grahambrooks, https://www.linkedin.com/in/payaldivakaran, https://www.linkedin.com/in/gdracon"
01 Ventures,http://www.01ventures.com/,VC,,Netherlands,Yes,,--,--,,x,x,,,,x,,,,,,,,x,,x,,,,,,,,,,
11.2 Capital,http://www.112capital.com/about.html,VC,,USA,Yes,30+,--,--,,x,x,,,,x,,x,x,,,,x,x,,x,,x,x,x,,,,,,
13 Ventures,https://13.ventures/,VC,,USA,Yes,3,--,--,,x,,,,,,,x,,,,,,,,,,,x,x,,,,,,
1517 Fund,https://www.1517fund.com/,VC,,USA,No,10+,$14.2M,"Apr , 2019",x,x,x,,,,,,x,,,,,,x,,x,,,x,,,,x,,"https://www.linkedin.com/in/daniellestrachman, https://www.linkedin.com/in/zslayback","https://www.linkedin.com/in/daniellestrachman, https://www.linkedin.com/in/zslayback"
1855 Capital Partners,https://1855capital.com,VC,,USA,No,1,,,,x,x,,,,,,Pennsylvania,,,,,,x,,,,x,x,,,,,,,
1confirmation,https://www.1confirmation.com,VC,,USA,No,--,$71M,"Sep , 2019",,x,x,,,,x,,x,,,,,,x,,,,,,,,,,Crypto,,
2048 Ventures,https://www.2048.vc/,VC,,USA,No,"Jan , 1900",$27M,"May , 2019",x,x,,,,,,,x,,,,,,x,,,,,x,,,,,"Enterprise SaaS, AI/ML, Fin-tech, Health-tech, Cybersecurity, Dev tools, Hardware, Genomics, Marketplaces, and B2C/D2C businesses differentiated through technology","https://www.linkedin.com/in/colette-jumbert-494a33220, https://www.linkedin.com/in/alice-iskold, https://www.linkedin.com/in/daniellacohen, https://www.linkedin.com/in/eddieejin, https://www.linkedin.com/in/iskold, https://www.linkedin.com/in/juliemariewolf, https://www.linkedin.com/in/justinemarchand, https://www.linkedin.com/in/lilly-iskold, https://www.linkedin.com/in/sperezbaos, https://www.linkedin.com/in/zannali",
2150,https://www.2150.vc/,VC,,"Denmark, UK, Germany",Yes,"Dec , 1899",$312M,"Oct , 2021",,,x,,€4M,€5M,x,x,x,x,x,x,,,x,,x,x,x,,,,x,x,Urban sustainability only,"https://www.linkedin.com/in/amber-chow1, https://www.linkedin.com/in/derekcinaderbrooks","https://www.linkedin.com/in/rahul-parekh-85874a46, https://www.linkedin.com/in/gustavo-chung"
2xN,https://2xn.vc/,VC,,UK,Yes,10+,$120M,"Sept, 2022",x,x,x,,$3M,$5M,x,,x,,,,,,x,x,x,,,,,,,,Quantum Computing,,
360 Capital,https://www.360cap.vc/,VC,,France,No,,€36M,"Oct, 2024",X,X,X,X,,,X,X,,,,,,,X,X,X,X,,,X,,X,X,"First Close, Expected to grow","https://www.linkedin.com/in/alessandro-m-zaccaria, https://www.linkedin.com/in/alexandre-mordacq, https://www.linkedin.com/in/cesare-maifredi-15050b, https://www.linkedin.com/in/edoardo-filippi, https://www.linkedin.com/in/englebertphilippe, https://www.linkedin.com/in/enzopages, https://www.linkedin.com/in/fausto-boni-839137, https://www.linkedin.com/in/federico-fini, https://www.linkedin.com/in/francesco-zambelli-675924b4, https://www.linkedin.com/in/ftison, https://www.linkedin.com/in/giovanni-giacomozzi, https://www.linkedin.com/in/giulia-galbiati-50a97b12a, https://www.linkedin.com/in/jean-marie-perrot-640850b4, https://www.linkedin.com/in/jos%C3%A9phine-roy-219392200, https://www.linkedin.com/in/juliettefaure, https://www.linkedin.com/in/katia-da-ros-7516281, https://www.linkedin.com/in/khaled-igue, https://www.linkedin.com/in/laetitia-de-panafieu-65b919a4, https://www.linkedin.com/in/lucrezia-l-137149105, https://www.linkedin.com/in/maria-morosan-a006b3166, https://www.linkedin.com/in/matteo-perale-b92122, https://www.linkedin.com/in/matteo-spatafora, https://www.linkedin.com/in/matthieuduriez, https://www.linkedin.com/in/noe-robert, https://www.linkedin.com/in/quentin-vipraseut, https://www.linkedin.com/in/silvia-rovere-4157007, https://www.linkedin.com/in/thomas-nivard-7a199343","https://www.linkedin.com/in/alessandro-m-zaccaria/?originalSubdomain=it, https://www.linkedin.com/in/alexandre-mordacq/?originalSubdomain=fr, https://www.linkedin.com/in/cesare-maifredi-15050b/, https://www.linkedin.com/in/edoardo-filippi/, https://www.linkedin.com/in/englebertphilippe/?originalSubdomain=fr"
360 Capital,https://www.360cap.vc/,VC,,France,No,,€100M,Dec 2024,,,X,X,,,X,,,,,,,,,,,X,,,,,X,,,"https://www.linkedin.com/in/alessandro-m-zaccaria, https://www.linkedin.com/in/alexandre-mordacq, https://www.linkedin.com/in/cesare-maifredi-15050b, https://www.linkedin.com/in/edoardo-filippi, https://www.linkedin.com/in/englebertphilippe, https://www.linkedin.com/in/enzopages, https://www.linkedin.com/in/fausto-boni-839137, https://www.linkedin.com/in/federico-fini, https://www.linkedin.com/in/francesco-zambelli-675924b4, https://www.linkedin.com/in/ftison, https://www.linkedin.com/in/giovanni-giacomozzi, https://www.linkedin.com/in/giulia-galbiati-50a97b12a, https://www.linkedin.com/in/jean-marie-perrot-640850b4, https://www.linkedin.com/in/jos%C3%A9phine-roy-219392200, https://www.linkedin.com/in/juliettefaure, https://www.linkedin.com/in/katia-da-ros-7516281, https://www.linkedin.com/in/khaled-igue, https://www.linkedin.com/in/laetitia-de-panafieu-65b919a4, https://www.linkedin.com/in/lucrezia-l-137149105, https://www.linkedin.com/in/maria-morosan-a006b3166, https://www.linkedin.com/in/matteo-perale-b92122, https://www.linkedin.com/in/matteo-spatafora, https://www.linkedin.com/in/matthieuduriez, https://www.linkedin.com/in/noe-robert, https://www.linkedin.com/in/quentin-vipraseut, https://www.linkedin.com/in/silvia-rovere-4157007, https://www.linkedin.com/in/thomas-nivard-7a199343","https://www.linkedin.com/in/alessandro-m-zaccaria/?originalSubdomain=it, https://www.linkedin.com/in/alexandre-mordacq/?originalSubdomain=fr, https://www.linkedin.com/in/cesare-maifredi-15050b/, https://www.linkedin.com/in/edoardo-filippi/, https://www.linkedin.com/in/englebertphilippe/?originalSubdomain=fr"
3E Bioventures,http://www.3ebiovc.com/en/,VC,,China,Yes,30+,$200M,"Jun , 2019",,,x,x,,,,,x,,China,,,,,,,,,x,x,,,,,,
3LB Seed Capital,https://www.3lbseed.com/financing,VC,,Italy,No,10+,,,,x,,,€30K,€500K,x,,,,,,,x,x,x,x,,x,,,x,x,,,,
3Lines Venture Capital - Rocket Fund,https://3lines.vc,VC,,USA,No,4,$26M,"Mar , 2021",,x,x,,,,,,x,,,,,,x,,x,,,,,,x,,,,
3M New Ventures,https://www.3m.com/3M/en_US/company-us/about-3m/3m-ventures/,CVC,3M,USA,No,15+,--,--,,x,x,x,,,x,x,x,x,x,x,,,x,x,,,x,x,x,,,,,,
3Rodeo,https://3rodeo.com,VC,,USA,No,--,,,,x,x,,,,x,,x,,,,,,x,,,,,x,,,,,,,
3VC,https://www.three.vc/,VC,,Austria,No,,--,--,,x,x,,€100K,€500K,x,,,,,,,,x,,,,,,,,,,,"https://www.linkedin.com/in/evaarh, https://www.linkedin.com/in/federc, https://www.linkedin.com/in/gerald-pollak, https://www.linkedin.com/in/jaymcgrath15, https://www.linkedin.com/in/mai-nguyen-phuc-53000268, https://www.linkedin.com/in/lasinger, https://www.linkedin.com/in/romanscharf, https://www.linkedin.com/in/sok-kheng-taing-468316241, https://www.linkedin.com/in/veronika-famira-09a909263","https://www.linkedin.com/in/evaarh, https://www.linkedin.com/in/federc, https://www.linkedin.com/in/gerald-pollak, https://www.linkedin.com/in/jaymcgrath15, https://www.linkedin.com/in/mai-nguyen-phuc-53000268"
3x5 Partners,https://www.3x5partners.com,VC,,USA,No,5+,$350M,,,,x,x,,,,,x,,,,,,,,,x,x,,x,x,x,,,,
415 CAPITAL,https://415capital.com,VC,,Germany,Yes,20+,,,,x,x,x,,,x,x,x,,,,,,,,,,,x,,,,,Cardiovascular Disease,,
42 Cap,https://www.42cap.com/,VC,,Germany,No,,€50M,"Jun , 2019",,x,x,,€500K,€1.5M,x,,,,,,,,x,x,x,,,x,,x,,x,Tech & data,https://www.linkedin.com/in/alex-meyer-14045b,https://www.linkedin.com/in/alex-meyer-14045b
