Firm Name,Investment Sector,Location (City),Investment Stage,URL,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
1776,"Technology, Health, Transportation, Energy, Education","Washington, D.C.","Early Stage Venture, Seed",https://www.1776.vc/,,https://www.linkedin.com/in/eburfield/,https://www.linkedin.com/in/eburfield
11.2 Capital,"Healthcare, Security, Finance","San Francisco, CA","Early Stage, Seed",http://www.112capital.com/,"https://www.linkedin.com/in/acchou, https://www.linkedin.com/in/davidjdorsey, https://www.linkedin.com/in/shelleyzhuang, https://www.linkedin.com/in/wai-soe-htun-56706531a",https://www.linkedin.com/in/shelleyzhuang,"https://www.linkedin.com/in/acchou, https://www.linkedin.com/in/shelleyzhuang, https://th.linkedin.com/in/wai-soe-htun-56706531a, https://www.linkedin.com/in/davidjdorsey"
122 West Ventures,"Information Technology, Telecoms, Media, and Communications","San Francisco, CA",Early Stage,122west.vc/,,"https://www.linkedin.com/in/%E6%AF%85-%E5%90%95-084684188, https://www.linkedin.com/in/mohamadreza-sanjabi-2a8236174, https://www.linkedin.com/in/santiago-caruso-98b408186","https://www.linkedin.com/in/ajsolimine, https://www.linkedin.com/in/evantana"
1517 Fund,"Clean Technology, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.1517fund.com,"https://www.linkedin.com/in/daniellestrachman, https://www.linkedin.com/in/nick-arnett-632b1222, https://www.linkedin.com/in/alexanderschwarzkopf","https://www.linkedin.com/in/daniellestrachman,https://www.linkedin.com/in/alexanderschwarzkopf/,https://www.linkedin.com/in/haylee-johnson-b9682b202/","https://www.linkedin.com/in/daniellestrachman, https://www.linkedin.com/in/michael-patrick-gibson-56b6973, https://www.linkedin.com/in/nick-arnett-632b1222, https://www.linkedin.com/in/alexanderschwarzkopf"
1confirmation,Financial Services,"San Francisco, CA","Early Stage Venture, Seed",www.1confirmation.com,"https://www.linkedin.com/in/nick-tomaino-99157823, https://www.linkedin.com/in/brett-shear-8b553199, https://www.linkedin.com/in/frank-hourigan-6715504","https://www.linkedin.com/in/nick-tomaino-99157823,https://www.linkedin.com/in/brett-shear-8b553199/","https://www.linkedin.com/in/nick-tomaino-99157823, https://www.linkedin.com/in/chenrich, https://www.linkedin.com/in/brett-shear-8b553199, https://www.linkedin.com/in/frank-hourigan-6715504"
3Rodeo,"Business Services, Information Technology, Telecoms, Media, and Communications","Los Angeles, CA","Early Stage, Early Stage: Seed",www.3rodeo.com,"https://www.linkedin.com/in/nheller, https://www.linkedin.com/in/mollydewolf, https://www.linkedin.com/in/larsperk",,https://www.linkedin.com/in/nheller
4490 Ventures,"Technology, Financial Services, Agriculture, Education","Madison, WI","Early Stage Venture, Seed",http://www.4490.ventures,,https://www.linkedin.com/in/danmalven/,"https://www.linkedin.com/in/danmalven, https://www.linkedin.com/in/toni-brown-5535814, https://www.linkedin.com/in/gian-fulgoni-0380b96"
50 Years,"Financial Services, Business Services, Insurance, Fintech","San Francisco, CA",Early Stage,http://www.fifty.vc/,,https://www.linkedin.com/in/sethbannon,https://www.linkedin.com/in/sethbannon
500 Startups,"Technology, Health, Financial Services, Education, Media","Mountain View, CA","Early Stage Venture, Seed",http://www.500.co,"https://www.linkedin.com/in/hsuan-yih-shawn-chu-57385b43, https://www.linkedin.com/in/jiun-hsien-lee-69899b66, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/arianne-ren%C3%A9e-dilts, https://www.linkedin.com/in/brinda-dutta-6039902b, https://www.linkedin.com/in/ceciezquerro, https://www.linkedin.com/in/damaris-mendoza-loera, https://www.linkedin.com/in/daniela-p%C3%A9rez-barr%C3%B3n-712286109, https://www.linkedin.com/in/didierquirozceballos, https://www.linkedin.com/in/donnacunanan, https://www.linkedin.com/in/irenish, https://www.linkedin.com/in/james-wu-74b384, https://www.linkedin.com/in/juinshern-tong, https://www.linkedin.com/in/meicheltan, https://www.linkedin.com/in/paulinaszyrmer, https://www.linkedin.com/in/regina-zurutuza-20018b64, https://www.linkedin.com/in/rlomeli88, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/-kristen-cooper, https://www.linkedin.com/in/abdulrahman-aljiffry-23834738, https://www.linkedin.com/in/adelyn-c-949b10103, https://www.linkedin.com/in/ai-lin-ng-52347310, https://www.linkedin.com/in/alaaibrahimm, https://www.linkedin.com/in/alaamurabit, https://www.linkedin.com/in/amal-bin-jurays-a65a6b185, https://www.linkedin.com/in/amaldokhan, https://www.linkedin.com/in/amalenan, https://www.linkedin.com/in/ana-uribe-84528b56, https://www.linkedin.com/in/analuciaforero, https://www.linkedin.com/in/anna-saltykova, https://www.linkedin.com/in/arief-bin-johan-alimin, https://www.linkedin.com/in/ashlynbmyers, https://www.linkedin.com/in/atika-french, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/carmenhoong, https://www.linkedin.com/in/carolina-acosta-tovany, https://www.linkedin.com/in/carrieliauw, https://www.linkedin.com/in/charlotte-odell-0070ab70, https://www.linkedin.com/in/chrissyhu, https://www.linkedin.com/in/christine-chan-ee-yin-0b691894, https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/christophferguson, https://www.linkedin.com/in/claytonbryan, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/cynthiaylchin, https://www.linkedin.com/in/daif-alrajhi, https://www.linkedin.com/in/daniela-malagon-alonso-76b88241, https://www.linkedin.com/in/demolaadegbite, https://www.linkedin.com/in/eileen-liew-bba8817a, https://www.linkedin.com/in/emily-lozano-ops, https://www.linkedin.com/in/emilyprintz, https://www.linkedin.com/in/emma-kelly21, https://www.linkedin.com/in/felicia-chia, https://www.linkedin.com/in/gemma-e-277605156, https://www.linkedin.com/in/grace-t-52685a221, https://www.linkedin.com/in/halina-jael-abu-bakar-b821a3128, https://www.linkedin.com/in/jakeclawson, https://www.linkedin.com/in/jamie-soo, https://www.linkedin.com/in/jeff-k-matsuda, https://www.linkedin.com/in/jenny-chin-sian-theng-290a0317b, https://www.linkedin.com/in/joanna-goh-a9a954a1, https://www.linkedin.com/in/justin-koo-cfa, https://www.linkedin.com/in/kaavya-gowda-294247b4, https://www.linkedin.com/in/karengvillanueva, https://www.linkedin.com/in/katerina-zlobina-2709821b7, https://www.linkedin.com/in/kevinwinsenchandra, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/kratingpoonpol, https://www.linkedin.com/in/leonardelee, https://www.linkedin.com/in/liamdigan, https://www.linkedin.com/in/liane-c-k-affy, https://www.linkedin.com/in/luisignaciocc, https://www.linkedin.com/in/lyndylien, https://www.linkedin.com/in/ma-ruf-muhammad-fajrin-8ba584111, https://www.linkedin.com/in/marcela-olivares-4b2b5311a, https://www.linkedin.com/in/melfauzi, https://www.linkedin.com/in/mercadojamp, https://www.linkedin.com/in/min-kim-00662232, https://www.linkedin.com/in/minnieang, https://www.linkedin.com/in/mirandagahagan, https://www.linkedin.com/in/misaki-majima-15089222a, https://www.linkedin.com/in/mohammad-khdair-cma, https://www.linkedin.com/in/monique-arnold-30491b11b, https://www.linkedin.com/in/mostafa-salem-191a5a159, https://www.linkedin.com/in/myerschristina, https://www.linkedin.com/in/naranpatthi, https://www.linkedin.com/in/natavudh, https://www.linkedin.com/in/nickdavison, https://www.linkedin.com/in/nico-gamboa-836663346, https://www.linkedin.com/in/noemi-vera, https://www.linkedin.com/in/nour-akiel-947b68194, https://www.linkedin.com/in/oksanavodonos, https://www.linkedin.com/in/pahrada-mameaw, https://www.linkedin.com/in/paulcabrera123, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/perthkrungkraipetch, https://www.linkedin.com/in/pichetpatchandrema, https://www.linkedin.com/in/pohsoon, https://www.linkedin.com/in/ramasworupha-nair-257792191, https://www.linkedin.com/in/reem-khamis, https://www.linkedin.com/in/samanthakiel, https://www.linkedin.com/in/santosvieira, https://www.linkedin.com/in/shahrilibrahim, https://www.linkedin.com/in/sheila-reyna-flores-5a6385115, https://www.linkedin.com/in/shill515, https://www.linkedin.com/in/stephaniecobos, https://www.linkedin.com/in/suzianak, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/victor-nge-jik-shern, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/weixensoon, https://www.linkedin.com/in/yeeshimtan, https://www.linkedin.com/in/yileenkoh","https://www.linkedin.com/in/hsuan-yih-shawn-chu-57385b43, https://www.linkedin.com/in/jiun-hsien-lee-69899b66, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/arianne-ren%C3%A9e-dilts, https://www.linkedin.com/in/brinda-dutta-6039902b, https://www.linkedin.com/in/ceciezquerro, https://www.linkedin.com/in/damaris-mendoza-loera, https://www.linkedin.com/in/daniela-p%C3%A9rez-barr%C3%B3n-712286109, https://www.linkedin.com/in/didierquirozceballos, https://www.linkedin.com/in/donnacunanan, https://www.linkedin.com/in/irenish, https://www.linkedin.com/in/james-wu-74b384, https://www.linkedin.com/in/juinshern-tong, https://www.linkedin.com/in/meicheltan, https://www.linkedin.com/in/paulinaszyrmer, https://www.linkedin.com/in/regina-zurutuza-20018b64, https://www.linkedin.com/in/rlomeli88, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/-kristen-cooper, https://www.linkedin.com/in/abdulrahman-aljiffry-23834738, https://www.linkedin.com/in/adelyn-c-949b10103, https://www.linkedin.com/in/ai-lin-ng-52347310, https://www.linkedin.com/in/alaaibrahimm, https://www.linkedin.com/in/alaamurabit, https://www.linkedin.com/in/amal-bin-jurays-a65a6b185, https://www.linkedin.com/in/amaldokhan, https://www.linkedin.com/in/amalenan, https://www.linkedin.com/in/ana-uribe-84528b56, https://www.linkedin.com/in/analuciaforero, https://www.linkedin.com/in/anna-saltykova, https://www.linkedin.com/in/arief-bin-johan-alimin, https://www.linkedin.com/in/ashlynbmyers, https://www.linkedin.com/in/atika-french, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/carmenhoong, https://www.linkedin.com/in/carolina-acosta-tovany, https://www.linkedin.com/in/carrieliauw, https://www.linkedin.com/in/charlotte-odell-0070ab70, https://www.linkedin.com/in/chrissyhu, https://www.linkedin.com/in/christine-chan-ee-yin-0b691894, https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/christophferguson, https://www.linkedin.com/in/claytonbryan, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/cynthiaylchin, https://www.linkedin.com/in/daif-alrajhi, https://www.linkedin.com/in/daniela-malagon-alonso-76b88241, https://www.linkedin.com/in/demolaadegbite, https://www.linkedin.com/in/eileen-liew-bba8817a, https://www.linkedin.com/in/emily-lozano-ops, https://www.linkedin.com/in/emilyprintz, https://www.linkedin.com/in/emma-kelly21, https://www.linkedin.com/in/felicia-chia, https://www.linkedin.com/in/gemma-e-277605156, https://www.linkedin.com/in/grace-t-52685a221, https://www.linkedin.com/in/halina-jael-abu-bakar-b821a3128, https://www.linkedin.com/in/jakeclawson, https://www.linkedin.com/in/jamie-soo, https://www.linkedin.com/in/jeff-k-matsuda, https://www.linkedin.com/in/jenny-chin-sian-theng-290a0317b, https://www.linkedin.com/in/joanna-goh-a9a954a1, https://www.linkedin.com/in/justin-koo-cfa, https://www.linkedin.com/in/kaavya-gowda-294247b4, https://www.linkedin.com/in/karengvillanueva, https://www.linkedin.com/in/katerina-zlobina-2709821b7, https://www.linkedin.com/in/kevinwinsenchandra, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/kratingpoonpol, https://www.linkedin.com/in/leonardelee, https://www.linkedin.com/in/liamdigan, https://www.linkedin.com/in/liane-c-k-affy, https://www.linkedin.com/in/luisignaciocc, https://www.linkedin.com/in/lyndylien, https://www.linkedin.com/in/ma-ruf-muhammad-fajrin-8ba584111, https://www.linkedin.com/in/marcela-olivares-4b2b5311a, https://www.linkedin.com/in/melfauzi, https://www.linkedin.com/in/mercadojamp, https://www.linkedin.com/in/min-kim-00662232, https://www.linkedin.com/in/minnieang, https://www.linkedin.com/in/mirandagahagan, https://www.linkedin.com/in/misaki-majima-15089222a, https://www.linkedin.com/in/mohammad-khdair-cma, https://www.linkedin.com/in/monique-arnold-30491b11b, https://www.linkedin.com/in/mostafa-salem-191a5a159, https://www.linkedin.com/in/myerschristina, https://www.linkedin.com/in/naranpatthi, https://www.linkedin.com/in/natavudh, https://www.linkedin.com/in/nickdavison, https://www.linkedin.com/in/nico-gamboa-836663346, https://www.linkedin.com/in/noemi-vera, https://www.linkedin.com/in/nour-akiel-947b68194, https://www.linkedin.com/in/oksanavodonos, https://www.linkedin.com/in/pahrada-mameaw, https://www.linkedin.com/in/paulcabrera123, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/perthkrungkraipetch, https://www.linkedin.com/in/pichetpatchandrema, https://www.linkedin.com/in/pohsoon, https://www.linkedin.com/in/ramasworupha-nair-257792191, https://www.linkedin.com/in/reem-khamis, https://www.linkedin.com/in/samanthakiel, https://www.linkedin.com/in/santosvieira, https://www.linkedin.com/in/shahrilibrahim, https://www.linkedin.com/in/sheila-reyna-flores-5a6385115, https://www.linkedin.com/in/shill515, https://www.linkedin.com/in/stephaniecobos, https://www.linkedin.com/in/suzianak, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/victor-nge-jik-shern, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/weixensoon, https://www.linkedin.com/in/yeeshimtan, https://www.linkedin.com/in/yileenkoh","https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/amaldokhan"
645 Ventures,Technology,"New York, NY","Early Stage Venture, Seed",http://www.645ventures.com,"https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/nnamdiokike, https://www.linkedin.com/in/parulsingh","https://www.linkedin.com/in/nnamdiokike,https://www.linkedin.com/in/aholidayiii,https://www.linkedin.com/in/vardangattani/,https://www.linkedin.com/in/petekeenan/,https://www.linkedin.com/in/mendy-yang-7a1b9451/,https://www.linkedin.com/in/yasmeenafaycurry,https://www.linkedin.com/in/willyhess/,https://www.linkedin.com/in/jon-h-smith-84497146/","https://www.linkedin.com/in/nnamdiokike, https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/parulsingh"
