id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoriteAddress,addresses,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Accelerator Duration (in weeks),Founders,LinkedIn,Number of Exits,Number of Investments,Number of Portfolio Organizations,Stage,Twitter,linkedin-private-codex,linkedin-private-claude
9cab397f-11b1-4c41-a08e-6d271e36f5a9,100x Impact Accelerator,company,,"100x Impact Accelerator offers a catalytic capital, world-class resources, door-opening connections and 12 weeks of program.",,,,,,All accelerators,2026-02-15T20:34:07.578Z,Mirza Asceric,2026-02-15T20:34:07.823Z,Mirza Asceric,,,https://www.linkedin.com/company/100x-impact-accelerator/,,1,1,Grant,,,
55b4e930-1da9-47d1-a83d-8a4bd0cb74db,10b,company,,10b enable the implementation of cutting-edge and environmentally friendly solutions for the agricultural and food industries.,,,,,,All accelerators,2026-02-15T20:34:04.792Z,Mirza Asceric,2026-02-15T20:34:05.047Z,Mirza Asceric,,,https://www.linkedin.com/company/10b-gestora-de-recursos/,,1,1,,,,
6d110006-ab1d-4e40-abdd-936c1ed50e31,1337 Ventures,company,,"1337 Ventures is a venture capital firm that invests in agritech, health tech, social enterprise, and insurtech sectors.",,,,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia","C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia",All accelerators,2026-02-15T20:34:02.929Z,Mirza Asceric,2026-02-15T20:34:03.166Z,Mirza Asceric,,Bikesh Lakhmichand,https://www.linkedin.com/company/1337ventures/,2,67,61,"Early Stage Venture, Seed",https://twitter.com/1337ventures,,
6dcfbd32-afe8-4b7f-8d2b-65395fa1a17d,1863 Ventures,company,,1863 Ventures is a startup accelerator that helps new-majority entrepreneurs scale up their business.,,,,,,"All VCs ,All VCs ,All VCs ,All accelerators",2026-02-15T19:35:07.763Z,Mirza Asceric,2026-02-15T20:34:08.447Z,Mirza Asceric,16,Melissa Bradley,https://www.linkedin.com/company/1863ventures,,7,6,,https://twitter.com/1863ventures,,
0d72ff3b-a9fd-4aa7-a879-a8073b18b874,365^x Accelerator,company,,The 365x Accelerator is a business enhancer for Software and IoT Startup Companies.,,,,,,All accelerators,2026-02-15T20:34:04.792Z,Mirza Asceric,2026-02-15T20:34:05.047Z,Mirza Asceric,24,,https://www.linkedin.com/company/28595100/,,2,2,,,,
c17c6f09-8537-4f12-b636-62ecdaa116aa,4WARD.VC,company,,"The world’s most hands-on, sales & traction-focused accelerator for elite early stage climate companies.",,,,"London, England","London, England",All accelerators,2026-02-15T20:34:02.929Z,Mirza Asceric,2026-02-15T20:34:03.166Z,Mirza Asceric,12,Matt Ward,https://www.linkedin.com/company/86764424,,6,6,"Early Stage Venture, Seed",,,
a14c20fe-9136-4fca-8d6c-c9b495ecc8bb,9/10ths Startup Accelerator,company,,"9/10ths Startup Accelerator develop projects, support entrepreneurs, facilitate to investors and pave the way for your commercial expansion.",,,,,,All accelerators,2026-02-15T20:34:06.172Z,Mirza Asceric,2026-02-15T20:34:06.415Z,Mirza Asceric,,,https://www.linkedin.com/company/910ths/,,2,2,,https://twitter.com/910ths/,,
5ce8f2a5-3cb1-4bc6-a811-397ae4f697af,"ABBALab - Atom to Bit, Bit to Atom",company,,ABBALab is a seed accelerator that supports startups that develop IoT hardware and ancillary services.,,,,,,All accelerators,2026-02-15T20:34:07.578Z,Mirza Asceric,2026-02-15T20:34:07.823Z,Mirza Asceric,,Osamu Ogasawara,,1,27,24,,https://www.twitter.com/abbalab,,
17b37c89-c543-462b-bc6c-ae97ec3de8ff,ABQid,company,,"ABQid provides a rigorously mentored, 12-week program focused on customer discovery and validation.",,,,,,All accelerators,2026-02-15T20:34:02.929Z,Mirza Asceric,2026-02-15T20:34:03.166Z,Mirza Asceric,,"Bill Bice, Bill Hartman, Paul Short, Webb Johnson",http://www.linkedin.com/company/3729689,,4,4,Seed,https://twitter.com/goABQid,,
93a6da03-e9fd-4fea-9202-a668cb4ac964,AC Accelerator,company,,"AC Accelerator offers funding, mentorship, coworking space, and networking opportunities to entrepreneurs and startups.",,,,,,All accelerators,2026-02-15T20:34:04.792Z,Mirza Asceric,2026-02-15T20:34:05.047Z,Mirza Asceric,,"Luozhu Jin, Tong Wang, Yong Xu, Yuliang Tong",,,14,13,,,,
269d787c-4712-4cfd-bf11-a914664de6f9,Accelerate,company,,Accelerate helps education leaders across the country build tools and strategies to address the pressing challenges of the current moment.,,,,,,All accelerators,2026-02-15T20:34:02.929Z,Mirza Asceric,2026-02-15T20:34:03.166Z,Mirza Asceric,,,https://www.linkedin.com/company/accelerateus/,1,26,26,,https://twitter.com/Accelerate_US,,
acb42b21-d290-4daa-9391-d4de45ce2843,Accelerate New York Seed Fund,company,,Accelerate NY Seed Fund supports science and technology-based early stage ventures.,,,,,,All accelerators,2026-02-15T20:34:07.578Z,Mirza Asceric,2026-02-15T20:34:07.823Z,Mirza Asceric,,,https://www.linkedin.com/company/accelerate-ny-seed-fund/about/,,22,22,"Early Stage Venture, Seed",https://twitter.com/AccelerateNY,,
83f60457-54c6-44e7-be13-de42fee4178f,Accelerator for Biosciences in Connect,company,,"ABCT is a competitive entry, 6-month long program designed for entrepreneurial research students and faculty.",,,,,,All accelerators,2026-02-15T20:34:06.172Z,Mirza Asceric,2026-02-15T20:34:06.415Z,Mirza Asceric,,,https://www.linkedin.com/company/abct/,,6,6,Non Equity Assistance,,,
8dfab923-9dbe-47ba-adf6-5fa0cd9245bb,ACCEL (Norwegian Accelerator),company,,ACCEL is a program that will help your company to grow faster and with better quality.,,,,,,All accelerators,2026-02-15T20:34:06.172Z,Mirza Asceric,2026-02-15T20:34:06.415Z,Mirza Asceric,,,,,1,1,,,,
