id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,createdAt,createdBy,fundingRaised,lastFundingDate,foundationDate,industry,employeeRange,addedToGroupAt,addedToGroupBy,Accelerator Duration (in weeks),Founders,LinkedIn,Number of Exits,Number of Investments,Number of Portfolio Organizations,Stage,Twitter
9467744a-3369-438c-afb6-ceae6730c7ff,100x Ventures,company,,100x Ventures is the corporate venture capital arm of 100x Group,,,,,,,,Corporate Venture Arms,2026-02-15T20:18:27.466Z,Mirza Asceric,,,,,,2026-02-15T20:18:27.790Z,Mirza Asceric,,,,1,8,7,,
0db3347e-a738-477e-9192-4d36d729b61c,10Pearls Ventures,company,,10Pearls Ventures is a venture capital firm.,,,,,,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",Corporate Venture Arms,2026-02-15T20:18:20.343Z,Mirza Asceric,,,,,,2026-02-15T20:18:20.661Z,Mirza Asceric,,,,,2,2,Early Stage Venture,
60057b60-cda4-4a33-acac-d1a5b255637f,1835i Ventures,company,,1835i Ventures is a corporate venture capital arm of ANZ Bank.,,https://www.1835i.com/,https://www.1835i.com/,,,,,Corporate Venture Arms,2026-02-15T20:18:16.904Z,Mirza Asceric,,,,,,2026-02-15T20:18:17.266Z,Mirza Asceric,,"Daniel Wypler, Ron Spector",https://www.linkedin.com/company/1835i/,,12,6,,
660ad8a5-099d-4c90-9f98-20f3ecc60cd3,2A Investimentos,company,contato@2ainvestimentos.com.br,2A Investimentos is a corporate venture capital firm that invests in innovation-driven startups with high potential.,contato@2ainvestimentos.com.br,https://www.2ainvestimentos.com.br/,https://www.2ainvestimentos.com.br/,,,,,Corporate Venture Arms,2026-02-15T20:18:20.343Z,Mirza Asceric,,,,,,2026-02-15T20:18:20.661Z,Mirza Asceric,,,https://www.linkedin.com/company/2ainvestimentos,,1,1,,
9e38d197-9853-4411-aee8-1524c408cf7c,301,company,,301 INC is an energetic and enthusiastic team looking to collaborate with emerging food brands.,,https://www.301inc.com,https://www.301inc.com,,,"Minneapolis, Minnesota, United States","Minneapolis, Minnesota, United States",Corporate Venture Arms,2026-02-15T20:18:18.131Z,Mirza Asceric,,,,,,2026-02-15T20:18:18.493Z,Mirza Asceric,,John Haugen,https://www.linkedin.com/company/301-inc,1,21,16,,
9fe333ce-6392-4cac-8a39-9a19fb175061,30WEST,company,info@30west.com,30West provides capital and strategic guidance to high caliber creative projects and forward-thinking companies.,info@30west.com,http://30west.com/,http://30west.com/,,,"Santa Monica, California, United States","Santa Monica, California, United States",Corporate Venture Arms,2026-02-15T20:18:24.958Z,Mirza Asceric,,,,,,2026-02-15T20:18:25.311Z,Mirza Asceric,,,https://www.linkedin.com/company/30w,,2,2,"Late Stage Venture,Early Stage Venture,Venture",
a9690361-d08a-4b97-b559-da6c0efe0aee,32 Equity,company,,32 Equity is a strategic investment firm that focuses on companies that can help to grow the game of football and creates content.,,,,,,,,Corporate Venture Arms,2026-02-15T20:18:22.663Z,Mirza Asceric,,,,,,2026-02-15T20:18:22.963Z,Mirza Asceric,,Kevin LaForce,,3,9,9,,
4a9409cd-6148-4ccb-a638-9808b1fd2507,346yhbf,company,,wtg,,,,,,"Noida, Uttar Pradesh, India","Noida, Uttar Pradesh, India",Corporate Venture Arms,2026-02-15T20:18:18.131Z,Mirza Asceric,,,,,,2026-02-15T20:18:18.493Z,Mirza Asceric,,,,,1,1,Early Stage Venture,
0414a440-8b45-4382-b572-7fef1b2358a0,365.fintech,company,365fintech@365fintech.sk,"365.fintech is a boutique VC focusing on pre-seed & seed API-first, infrastructure & b2b/b2b2c fintech in broader CEE & Baltics.",365fintech@365fintech.sk,https://www.365fintech.vc/,https://www.365fintech.vc/,,,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia","Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia",Corporate Venture Arms,2026-02-15T20:18:16.904Z,Mirza Asceric,,,,,,2026-02-15T20:18:17.266Z,Mirza Asceric,,,https://www.linkedin.com/company/18594526,1,14,12,"Convertible Note,Seed",
978965fb-c184-44ce-93d2-4208678075ea,3Com,company,,"3Com provides network-based intrusion prevention systems that deliver application, infrastructure and performance protection.",,http://www.3com.com,http://www.3com.com,,,"Spring, Texas, United States","Spring, Texas, United States",Corporate Venture Arms,2026-02-15T20:18:24.958Z,Mirza Asceric,,,,,,2026-02-15T20:18:25.311Z,Mirza Asceric,,"Howard Charney, Robert Metcalfe",http://in.linkedin.com/company/3com,7,9,8,"Late Stage Venture,Early Stage Venture,Venture",
